vbs_pog9  , primary org. gas 9                                              , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_pog

vbs_sisog1, secondary org. gas from SIVOC 1                                 , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_sisog
vbs_sisog2, secondary org. gas from SIVOC 2                                 , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_sisog
vbs_sisog3, secondary org. gas from SIVOC 3                                 , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_sisog
vbs_sisog4, secondary org. gas from SIVOC 4                                 , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_sisog
vbs_sisog5, secondary org. gas from SIVOC 5                                 , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_sisog
vbs_sisog6, secondary org. gas from SIVOC 6                                 , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_sisog
vbs_sisog7, secondary org. gas from SIVOC 7                                 , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_sisog
vbs_sisog8, secondary org. gas from SIVOC 8                                 , ppb  , mm250                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_sisog

vbs_asog1 , secondary org. gas from aVOC 1                                  , ppb  , mm150                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_asog
vbs_asog2 , secondary org. gas from aVOC 2                                  , ppb  , mm150                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_asog
vbs_asog3 , secondary org. gas from aVOC 3                                  , ppb  , mm150                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_asog
vbs_asog4 , secondary org. gas from aVOC 4                                  , ppb  , mm150                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_asog
vbs_asog5 , secondary org. gas from aVOC 5                                  , ppb  , mm150                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_asog
vbs_asog6 , secondary org. gas from aVOC 6                                  , ppb  , mm150                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_asog

vbs_bsog1 , secondary org. gas from bVOC 1                                  , ppb  , mm180                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_bsog
vbs_bsog2 , secondary org. gas from bVOC 2                                  , ppb  , mm180                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_bsog
vbs_bsog3 , secondary org. gas from bVOC 3                                  , ppb  , mm180                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_bsog
vbs_bsog4 , secondary org. gas from bVOC 4                                  , ppb  , mm180                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_bsog
vbs_bsog5 , secondary org. gas from bVOC 5                                  , ppb  , mm180                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_bsog
vbs_bsog6 , secondary org. gas from bVOC 6                                  , ppb  , mm180                ,           ,           ,          , vbs                 , vbs vbs_cg vbs_bsog

# organic aerosols:
